1/2007	one two thousand seventh
3/4	three quarters
8/16	eight sixteenths
3/24	three twenty fourths
250/3	two hundred fifty thirds
1/2	one half
3/4	three quarters
1890/91	one thousand eight hundred ninety ninety firsts
2004/9	two thousand four ninths
4/16	four sixteenths
11/18	eleven eighteenths
1/2	one half
14 1/2	fourteen and a half
12/16	twelve sixteenths
1/4	one quarter
24/7	twenty four sevenths
13/4414	thirteen four thousand four hundred fourteenths
30/31	thirty thirty firsts
6½	six and a half
4/5	four fifths
1 1/2	one and a half
1627/8	one thousand six hundred twenty seven eighths
1882/83	one thousand eight hundred eighty two eighty thirds
2/2	two halves
339/439	three hundred thirty nine four hundred thirty ninths
24/7	twenty four sevenths
2½	two and a half
28/2007	twenty eight two thousand sevenths
19/39	nineteen thirty ninths
3½	three and a half
8/2012	eight two thousand twelfths
2010/7	two thousand ten sevenths
1/111	one one hundred eleventh
1973/4	one thousand nine hundred seventy three quarters
9/15	nine fifteenths
1/8	one eighth
5/2013	five two thousand thirteenths
-0 / 9188880230	minus zero nine billion one hundred eighty eight million eight hundred eighty thousand two hundred thirtieths
9/19	nine nineteenths
259/2014	two hundred fifty nine two thousand fourteenths
716/721	seven hundred sixteen seven hundred twenty firsts
3 1/2	three and a half
1605/6	one thousand six hundred five sixths
1/4	one quarter
10/1	ten over one
14/1998	fourteen one thousand nine hundred ninety eighths
67/2008	sixty seven two thousand eighths
17/1	seventeen over one
1479/80	one thousand four hundred seventy nine eightieths
641/640	six hundred forty one six hundred fortieths
2½	two and a half
6/24	six twenty fourths
22/23	twenty two twenty thirds
1890/91	one thousand eight hundred ninety ninety firsts
1888/89	one thousand eight hundred eighty eight eighty ninths
1888/89	one thousand eight hundred eighty eight eighty ninths
263/414	two hundred sixty three four hundred fourteenths
10/1600	ten one thousand six hundredths
2/2013	two two thousand thirteenths
1937/8	one thousand nine hundred thirty seven eighths
37/5167	thirty seven five thousand one hundred sixty sevenths
8/2002	eight two thousand seconds
10/1998	ten one thousand nine hundred ninety eighths
107/108	one hundred seven one hundred eighths
10/28	ten twenty eighths
13½	thirteen and a half
12½	twelve and a half
5/2001	five two thousand firsts
9/11	nine elevenths
1946/47	one thousand nine hundred forty six forty sevenths
2009/10	two thousand nine tenths
1946/47	one thousand nine hundred forty six forty sevenths
2011/12	two thousand eleven twelfths
1419/10	one thousand four hundred nineteen tenths
11/7	eleven sevenths
1/3	one third
1330/31	one thousand three hundred thirty thirty firsts
4/2014	four two thousand fourteenths
1/72	one seventy second
6/4	six quarters
2/27	two twenty sevenths
1/3	one third
1/3	one third
1/3	one third
3/1	three over one
4/4	four quarters
309/462	three hundred nine four hundred sixty seconds
4/31	four thirty firsts
3 1/2	three and a half
1/3	one third
91/30	ninety one thirtieths
3/5	three fifths
2/97	two ninety sevenths
24/48	twenty four forty eighths
24/72	twenty four seventy seconds
7/8	seven eighths
4½	four and a half
1/7	one seventh
42461/13	forty two thousand four hundred sixty one thirteenths
10/25	ten twenty fifths
3/10	three tenths
96/24	ninety six twenty fourths
10/25	ten twenty fifths
7/10	seven tenths
82 11/16	eighty two and eleven sixteenths
6/19	six nineteenths
4/38	four thirty eighths
1 3/16	one and three sixteenths
1/5	one fifth
1/2	one half
1/2	one half
1/5	one fifth
83/100	eighty three one hundredths
202/26	two hundred two twenty sixths
-16/6	minus sixteen sixths
6/4	six quarters
13½	thirteen and a half
14½	fourteen and a half
11/9	eleven ninths
1/8	one eighth
4/4	four quarters
3½	three and a half
3/5	three fifths
1 1/2	one and a half
12/12	twelve twelfths
3/6	three sixths
8/10	eight tenths
15/33	fifteen thirty thirds
4/20	four twentieths
69/400	sixty nine four hundredths
21/22	twenty one twenty seconds
2009/19	two thousand nine nineteenths
¾	three quarters
3/26	three twenty sixths
2/41	two forty firsts
2/4	two quarters
2/20	two twentieths
10/9	ten ninths
7/19	seven nineteenths
3/13	three thirteenths
10/9	ten ninths
1/4	one quarter
24/1	twenty four over one
7½	seven and a half
3/1	three over one
2/1	two over one
2004 5/7	two thousand four and five sevenths
11 3/4	eleven and three quarters
2/12	two twelfths
3/35	three thirty fifths
2/5	two fifths
2181/2182	two thousand one hundred eighty one two thousand one hundred eighty seconds
46/50	forty six fiftieths
3/9	three ninths
6/9	six ninths
1/22	one twenty second
1½	one and a half
1/4	one quarter
1/5	one fifth
2/3	two thirds
5½	five and a half
11/12	eleven twelfths
5/31	five thirty firsts
5/2008	five two thousand eighths
11/4	eleven quarters
11/21	eleven twenty firsts
9/12	nine twelfths
38/39	thirty eight thirty ninths
12/9	twelve ninths
4/1	four over one
1370/276	one thousand three hundred seventy two hundred seventy sixths
13 1/2	thirteen and a half
5/2005	five two thousand fifths
20/20	twenty twentieths
1662/63	one thousand six hundred sixty two sixty thirds
-95/97	minus ninety five ninety sevenths
2/5	two fifths
-1/8	minus one eighth
3/11	three elevenths
2009/106982	two thousand nine one hundred six thousand nine hundred eighty seconds
1946/47	one thousand nine hundred forty six forty sevenths
2009/10	two thousand nine tenths
24/26	twenty four twenty sixths
16/17	sixteen seventeenths
8/27	eight twenty sevenths
87/2006	eighty seven two thousand sixths
1851/2	one thousand eight hundred fifty one halves
12/10	twelve tenths
61/100	sixty one one hundredths
66/100	sixty six one hundredths
8/10	eight tenths
2012/3	two thousand twelve thirds
4/15	four fifteenths
16/32	sixteen thirty seconds
8/16	eight sixteenths
11/20	eleven twentieths
3/16	three sixteenths
8/12	eight twelfths
1/8	one eighth
7/8	seven eighths
3 1/2	three and a half
13 1/2	thirteen and a half
55/2005	fifty five two thousand fifths
3/4	three quarters
10/11	ten elevenths
13/2007	thirteen two thousand sevenths
8 1/2	eight and a half
33/100	thirty three one hundredths
4/5	four fifths
1507/8	one thousand five hundred seven eighths
4/5	four fifths
4/16	four sixteenths
4/6	four sixths
5/2004	five two thousand fourths
6/9	six ninths
3/5	three fifths
3/7	three sevenths
1877/78	one thousand eight hundred seventy seven seventy eighths
7/26	seven twenty sixths
7/28	seven twenty eighths
1485/86	one thousand four hundred eighty five eighty sixths
2 1/2	two and a half
2 1/2	two and a half
1795 / 1805	one thousand seven hundred ninety five one thousand eight hundred fifths
2/6	two sixths
50/100	fifty one hundredths
20/20	twenty twentieths
1⅛	one and an eighth
16/8	sixteen eighths
3/2009	three two thousand ninths
4/5	four fifths
25/6	twenty five sixths
18/36	eighteen thirty sixths
-1933/39	minus one thousand nine hundred thirty three thirty ninths
4½	four and a half
10/65	ten sixty fifths
1/2006	one two thousand sixth
-1/2	minus one half
8/10	eight tenths
460/20	four hundred sixty twentieths
-4/2	minus four halves
4 1/2	four and a half
1/19	one nineteenth
2/5	two fifths
⅔	two thirds
0/10	zero tenths
-1/2	minus one half
-1518/19	minus one thousand five hundred eighteen nineteenths
1/2	one half
1/25	one twenty fifth
35/36	thirty five thirty sixths
21/14	twenty one fourteenths
1894/95	one thousand eight hundred ninety four ninety fifths
18/2008	eighteen two thousand eighths
1/2	one half
1/2	one half
25/17025	twenty five seventeen thousand twenty fifths
56 / 60	fifty six sixtieths
11/2	eleven halves
1/64	one sixty fourth
90/50	ninety fiftieths
4/7	four sevenths
4/24	four twenty fourths
1/3	one third
24/25	twenty four twenty fifths
16⅔	sixteen and two thirds
37/4	thirty seven quarters
38/40	thirty eight fortieths
57/0	fifty seven zeroths
59/86	fifty nine eighty sixths
1/3	one third
½	one half
1950/51	one thousand nine hundred fifty fifty firsts
1989/90	one thousand nine hundred eighty nine ninetieths
1/8	one eighth
7/8	seven eighths
24/7	twenty four sevenths
259/2014	two hundred fifty nine two thousand fourteenths
7/3	seven thirds
4120/97	four thousand one hundred twenty ninety sevenths
24/7	twenty four sevenths
½	one half
2/3	two thirds
2 1/2	two and a half
10/16	ten sixteenths
1/7	one seventh
6/49	six forty ninths
23/30	twenty three thirtieths
-9/1	minus nine over one
12/14	twelve fourteenths
2/5	two fifths
7/8	seven eighths
1566/7	one thousand five hundred sixty six sevenths
243/2014	two hundred forty three two thousand fourteenths
243/2014	two hundred forty three two thousand fourteenths
97/23	ninety seven twenty thirds
29/6	twenty nine sixths
4/12	four twelfths
2/4	two quarters
7/8	seven eighths
10/11	ten elevenths
9/4	nine quarters
9/11	nine elevenths
-707/13	minus seven hundred seven thirteenths
9/27	nine twenty sevenths
11/19	eleven nineteenths
8/19	eight nineteenths
10/2001	ten two thousand firsts
280/97	two hundred eighty ninety sevenths
43/2	forty three halves
11/12	eleven twelfths
667/8	six hundred sixty seven eighths
2/5	two fifths
10/33	ten thirty thirds
40/541	forty five hundred forty firsts
9/18	nine eighteenths
9369/1946	nine thousand three hundred sixty nine one thousand nine hundred forty sixths
2½	two and a half
3/5	three fifths
1/4	one quarter
3/16	three sixteenths
5/6	five sixths
1903/4	one thousand nine hundred three quarters
1/2	one half
642/2	six hundred forty two halves
21/2001	twenty one two thousand firsts
4/5	four fifths
8/30	eight thirtieths
96/97	ninety six ninety sevenths
96/7	ninety six sevenths
1/4	one quarter
9/10	nine tenths
1 1/2	one and a half
4½	four and a half
4 / 2	four halves
1/2	one half
9/17	nine seventeenths
1935/6	one thousand nine hundred thirty five sixths
5/2015	five two thousand fifteenths
14/1986	fourteen one thousand nine hundred eighty sixths
182/2011	one hundred eighty two two thousand elevenths
96/48	ninety six forty eighths
1650/51	one thousand six hundred fifty fifty firsts
10/1	ten over one
10/1	ten over one
24/7	twenty four sevenths
2 / 2	two halves
1 ¾	one and three quarters
1371/3	one thousand three hundred seventy one thirds
65/68	sixty five sixty eighths
5/20	five twentieths
2212/2216	two thousand two hundred twelve two thousand two hundred sixteenths
6/24	six twenty fourths
3/3	three thirds
-4/5	minus four fifths
4/22	four twenty seconds
24/7	twenty four sevenths
3/40	three fortieths
17/2005	seventeen two thousand fifths
63/10	sixty three tenths
1/3	one third
1/2	one half
220/1	two hundred twenty over one
3/36	three thirty sixths
14/3	fourteen thirds
24/7	twenty four sevenths
7/1	seven over one
1/25	one twenty fifth
887/890	eight hundred eighty seven eight hundred ninetieths
1/2	one half
1/128	one one hundred twenty eighth
1/31	one thirty first
4/38	four thirty eighths
7/86	seven eighty sixths
1/4	one quarter
4½	four and a half
1/6	one sixth
7/4	seven quarters
12/2	twelve halves
10/23	ten twenty thirds
2/6	two sixths
21/2000	twenty one two thousandths
415/5	four hundred fifteen fifths
53/70	fifty three seventieths
10/14	ten fourteenths
7/17	seven seventeenths
7/24	seven twenty fourths
7/13	seven thirteenths
45/52	forty five fifty seconds
6400/7400	six thousand four hundred seven thousand four hundredths
1424 / 1425	one thousand four hundred twenty four one thousand four hundred twenty fifths
-1/2	minus one half
44/49	forty four forty ninths
1960 / 1963	one thousand nine hundred sixty one thousand nine hundred sixty thirds
2004/292	two thousand four two hundred ninety seconds
94/360	ninety four three hundred sixtieths
0/0	zero zeroths
60/40	sixty fortieths
5½	five and a half
2/18	two eighteenths
9/12	nine twelfths
1/19	one nineteenth
100/2017	one hundred two thousand seventeenths
9/11	nine elevenths
10/2005	ten two thousand fifths
11/782	eleven seven hundred eighty seconds
11/780	eleven seven hundred eightieths
11½	eleven and a half
2014/5	two thousand fourteen fifths
1/60	one sixtieth
1/2	one half
1/9	one ninth
12/13	twelve thirteenths
24/7	twenty four sevenths
114/1956	one hundred fourteen one thousand nine hundred fifty sixths
2 1/2	two and a half
10/28	ten twenty eighths
25/26	twenty five twenty sixths
12/13	twelve thirteenths
10½	ten and a half
86/100	eighty six one hundredths
20/192	twenty one hundred ninety seconds
82/158	eighty two one hundred fifty eighths
56/203	fifty six two hundred thirds
16/32	sixteen thirty seconds
4/4	four quarters
4¾	four and three quarters
3/4	three quarters
17867/7	seventeen thousand eight hundred sixty seven sevenths
31/119	thirty one one hundred nineteenths
18 / 2001	eighteen two thousand firsts
7/70	seven seventieths
2/42	two forty seconds
5/1	five over one
-2/2	minus two halves
24/7	twenty four sevenths
5/12	five twelfths
130/131	one hundred thirty one hundred thirty firsts
1981/2	one thousand nine hundred eighty one halves
4/4	four quarters
3/4	three quarters
1974/76	one thousand nine hundred seventy four seventy sixths
1/4	one quarter
38/161	thirty eight one hundred sixty firsts
92/93	ninety two ninety thirds
2/17	two seventeenths
7/95	seven ninety fifths
1½	one and a half
1/2	one half
2/4	two quarters
1621/2	one thousand six hundred twenty one halves
1659/60	one thousand six hundred fifty nine sixtieths
3/80	three eightieths
1/13	one thirteenth
1/8	one eighth
2/3	two thirds
20/6	twenty sixths
21/10	twenty one tenths
6/7	six sevenths
11/4	eleven quarters
3299/3409	three thousand two hundred ninety nine three thousand four hundred ninths
5914/5988	five thousand nine hundred fourteen five thousand nine hundred eighty eighths
¾	three quarters
1946/47	one thousand nine hundred forty six forty sevenths
2009/10	two thousand nine tenths
1946/47	one thousand nine hundred forty six forty sevenths
2009/10	two thousand nine tenths
2/9	two ninths
20/20	twenty twentieths
281/1899	two hundred eighty one one thousand eight hundred ninety ninths
20/50	twenty fiftieths
75/100	seventy five one hundredths
40/555	forty five hundred fifty fifths
5/5	five fifths
9/11	nine elevenths
24/7	twenty four sevenths
2/3	two thirds
8/24	eight twenty fourths
63⅓	sixty three and a third
50/1	fifty over one
8/2	eight halves
1/4	one quarter
5/6	five sixths
11/4	eleven quarters
4½	four and a half
1740/41	one thousand seven hundred forty forty firsts
3½	three and a half
2/10	two tenths
2008/9	two thousand eight ninths
4/4	four quarters
